               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093713,            0.034136,                   0,             0.36971,             0.47368,             0.25742,            0.081587,             0.06994,            0.024203,                   0,            0.070273,            0.003303,            0.003303
                   1,            0.066878,            0.020915,                   0,             0.47725,             0.42105,              0.4774,             0.16469,            0.064389,            0.018884,                   0,            0.040243,           0.0066065,           0.0066065
                   2,            0.062464,            0.016685,                   0,             0.42601,             0.54697,             0.52294,             0.18148,            0.064139,            0.017434,                   0,            0.010183,             0.00988,             0.00988
                   3,            0.057196,            0.015795,                   0,             0.84042,             0.65789,             0.78594,             0.30184,            0.050522,            0.017026,                   0,            0.009865,            0.009865,            0.009865
                   4,            0.052915,            0.014681,                   0,             0.55721,             0.72868,              0.6642,             0.26122,            0.050212,            0.019143,                   0,            0.009865,            0.009865,            0.009865
                   5,             0.04968,            0.014862,                   0,             0.70488,             0.60526,             0.63314,             0.24553,             0.05086,            0.023701,                   0,             0.00982,             0.00982,             0.00982
                   6,            0.047807,            0.014344,                   0,             0.70545,             0.84211,              0.8074,             0.31654,            0.045229,            0.017079,                   0,            0.009775,            0.009775,            0.009775
                   7,            0.046772,            0.014361,                   0,             0.71177,             0.76316,             0.76134,             0.32453,            0.050207,            0.016251,                   0,             0.00973,             0.00973,             0.00973
                   8,            0.045273,            0.013678,                   0,             0.72103,             0.73684,              0.7338,             0.34551,            0.045044,            0.016983,                   0,            0.009685,            0.009685,            0.009685
                   9,            0.043283,            0.013505,                   0,             0.85998,             0.86842,             0.91197,             0.37041,            0.042018,            0.016211,                   0,             0.00964,             0.00964,             0.00964
                  10,            0.043061,            0.013889,                   0,             0.83881,             0.86842,             0.91283,             0.34784,            0.043594,            0.015624,                   0,            0.009595,            0.009595,            0.009595
                  11,            0.043162,            0.013575,                   0,             0.81725,             0.81579,              0.8874,             0.38568,            0.042417,            0.017095,                   0,             0.00955,             0.00955,             0.00955
                  12,            0.042791,            0.013266,                   0,             0.81199,             0.73684,              0.7672,             0.30321,            0.044903,            0.017253,                   0,            0.009505,            0.009505,            0.009505
                  13,            0.041755,            0.013167,                   0,             0.82677,             0.87935,             0.88683,             0.36605,             0.04362,            0.016561,                   0,             0.00946,             0.00946,             0.00946
                  14,            0.040638,            0.013195,                   0,             0.83021,             0.77221,             0.84446,             0.31266,            0.044322,            0.018195,                   0,            0.009415,            0.009415,            0.009415
                  15,             0.04105,            0.013241,                   0,             0.73776,             0.66648,             0.70522,             0.29249,            0.046382,            0.021971,                   0,             0.00937,             0.00937,             0.00937
                  16,            0.040996,            0.012723,                   0,             0.82923,             0.89452,             0.85227,              0.3614,             0.04348,            0.016892,                   0,            0.009325,            0.009325,            0.009325
                  17,            0.040299,            0.013293,                   0,             0.76338,             0.78947,             0.81483,             0.33603,             0.04567,            0.016401,                   0,             0.00928,             0.00928,             0.00928
                  18,            0.040281,            0.012879,                   0,             0.89732,             0.84211,             0.90694,             0.38806,             0.04171,             0.01568,                   0,            0.009235,            0.009235,            0.009235
                  19,             0.03925,            0.013012,                   0,             0.80757,             0.88369,             0.89637,             0.33523,            0.045461,            0.016639,                   0,             0.00919,             0.00919,             0.00919
                  20,            0.039432,            0.013068,                   0,             0.83112,             0.81579,             0.86647,             0.38169,             0.04302,            0.015816,                   0,            0.009145,            0.009145,            0.009145
                  21,            0.038956,            0.012523,                   0,             0.82836,             0.78947,             0.77186,             0.33388,            0.043718,            0.016665,                   0,              0.0091,              0.0091,              0.0091
                  22,            0.038759,            0.012483,                   0,              0.8565,             0.84211,             0.89431,             0.38174,            0.040618,            0.015781,                   0,            0.009055,            0.009055,            0.009055
                  23,            0.038843,            0.012547,                   0,             0.86201,             0.86842,             0.88601,             0.37649,             0.04105,            0.016422,                   0,             0.00901,             0.00901,             0.00901
                  24,            0.038213,            0.012352,                   0,             0.88624,             0.94737,             0.94305,             0.39702,            0.041014,            0.016147,                   0,            0.008965,            0.008965,            0.008965
                  25,            0.038233,            0.012366,                   0,             0.79792,             0.84211,             0.84578,             0.33549,            0.044964,            0.015939,                   0,             0.00892,             0.00892,             0.00892
                  26,            0.037493,            0.012164,                   0,              0.8583,             0.79712,             0.88806,             0.40034,            0.040955,            0.017864,                   0,            0.008875,            0.008875,            0.008875
                  27,            0.037731,            0.012418,                   0,             0.88015,             0.68421,             0.80885,             0.37765,            0.043201,             0.01576,                   0,             0.00883,             0.00883,             0.00883
                  28,            0.037574,            0.012437,                   0,             0.70864,             0.83221,              0.8372,             0.37438,            0.044048,            0.015776,                   0,            0.008785,            0.008785,            0.008785
                  29,            0.037265,            0.012244,                   0,             0.88056,             0.84211,             0.89732,             0.39791,            0.042357,            0.016687,                   0,             0.00874,             0.00874,             0.00874
                  30,             0.03705,            0.012305,                   0,             0.79255,             0.80446,             0.88369,             0.37026,            0.042715,            0.016994,                   0,            0.008695,            0.008695,            0.008695
                  31,            0.036852,            0.012086,                   0,             0.81079,             0.78936,             0.86276,             0.38865,            0.043738,            0.016134,                   0,             0.00865,             0.00865,             0.00865
                  32,            0.036549,            0.012154,                   0,             0.81643,             0.81938,             0.88974,             0.41242,            0.040536,            0.016839,                   0,            0.008605,            0.008605,            0.008605
                  33,            0.035815,            0.012156,                   0,             0.83839,             0.81922,             0.85024,             0.39575,            0.043155,            0.017418,                   0,             0.00856,             0.00856,             0.00856
                  34,            0.036083,             0.01192,                   0,             0.81449,             0.80894,             0.85419,             0.39454,            0.041097,            0.016569,                   0,            0.008515,            0.008515,            0.008515
                  35,            0.035976,            0.011919,                   0,             0.83464,             0.79711,             0.90004,             0.39319,            0.043507,            0.015797,                   0,             0.00847,             0.00847,             0.00847
                  36,            0.035526,            0.012167,                   0,             0.80449,             0.86631,             0.85256,              0.3873,            0.042522,            0.016331,                   0,            0.008425,            0.008425,            0.008425
                  37,            0.035671,             0.01176,                   0,             0.79895,             0.83673,             0.82418,             0.37924,            0.042322,            0.017183,                   0,             0.00838,             0.00838,             0.00838
                  38,            0.035827,            0.011928,                   0,             0.86856,             0.89474,             0.92906,             0.39735,             0.04131,            0.016623,                   0,            0.008335,            0.008335,            0.008335
                  39,             0.03511,            0.012079,                   0,             0.80939,             0.78947,             0.83055,             0.39728,            0.041484,             0.01685,                   0,             0.00829,             0.00829,             0.00829
                  40,            0.035752,            0.012021,                   0,             0.70765,             0.84211,             0.83466,             0.37466,            0.042298,            0.017346,                   0,            0.008245,            0.008245,            0.008245
                  41,            0.035286,            0.011562,                   0,              0.8645,             0.67179,             0.77903,             0.33642,             0.04371,            0.018612,                   0,              0.0082,              0.0082,              0.0082
                  42,            0.035401,             0.01196,                   0,             0.82172,             0.81579,             0.85939,             0.38527,             0.04318,            0.016323,                   0,            0.008155,            0.008155,            0.008155
                  43,            0.034975,            0.011577,                   0,             0.77038,             0.81579,              0.8309,             0.37902,            0.042399,            0.017138,                   0,             0.00811,             0.00811,             0.00811
                  44,            0.034987,            0.012043,                   0,             0.79841,             0.86842,             0.88327,              0.4215,            0.039526,            0.017042,                   0,            0.008065,            0.008065,            0.008065
                  45,            0.034169,            0.011663,                   0,             0.84639,             0.73684,             0.84703,             0.38592,            0.041852,            0.016713,                   0,             0.00802,             0.00802,             0.00802
                  46,            0.034314,            0.011304,                   0,              0.8455,             0.86415,             0.90769,              0.3847,            0.042476,            0.017207,                   0,            0.007975,            0.007975,            0.007975
